""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	0.892361111111111	0.996491228070175	0.934782608695652	0.920844327176781	0.986111111111111	0.633004926108374	0.98943661971831	0.918918918918919	0.618090452261307	0.986062717770035	0.944444444444444	0.955017301038062	0.729299363057325	0.957516339869281	0.986111111111111	0.979452054794521	0.933884297520661	0.622641509433962	0.820598006644518	0.924137931034483	0.730538922155689	0.975438596491228	0.935483870967742	0.601941747572815	0.905263157894737	0.976027397260274	0.943089430894309	0.917989417989418	0.985964912280702	0.5470737913486	0.886206896551724	0.6	0.883161512027491	0.930817610062893	0.969072164948454	0.636111111111111	0.944250871080139	0.986013986013986	0.914364640883978	0.832080200501253	0.613207547169811	0.849315068493151	0.957894736842105	0.608200455580866	0.979310344827586	0.930051813471503	0.639902676399027	0.907849829351536	0.975609756097561	0.943661971830986	0.986013986013986	0.885558583106267	0.933797909407665	0.636986301369863	0.62200956937799	0.945578231292517	0.925501432664756	0.934256055363322	0.623978201634877	0.907356948228883	0.975694444444444	0.996503496503496	0.992982456140351	0.599502487562189	0.898989898989899	0.794701986754967	0.612590799031477	0.986159169550173	0.935672514619883
"AqFl2-02"	0.892361111111111	0	0.976190476190476	0.901098901098901	0.935897435897436	0.886363636363636	0.927835051546392	0.926829268292683	0.737704918032787	0.907473309608541	0.883720930232558	0.921259842519685	0.843137254901961	0.861313868613139	0.898550724637681	0.911111111111111	0.854166666666667	0.933333333333333	0.917460317460317	0.808510638297872	0.830508474576271	0.889570552147239	0.833333333333333	0.918918918918919	0.936102236421725	0.767857142857143	0.88	0.934782608695652	0.949367088607595	0.904761904761905	0.913907284768212	0.709677419354839	0.934718100890208	0.776119402985075	0.897727272727273	0.882352941176471	0.882882882882883	0.8	0.906976744186046	0.905109489051095	0.91219512195122	0.911671924290221	0.708333333333333	0.826086956521739	0.930232558139535	0.918367346938776	0.9375	0.906574394463668	0.815384615384615	0.866666666666667	0.926829268292683	0.906976744186046	0.893333333333333	0.811320754716981	0.924012158054711	0.918831168831169	0.824561403508772	0.935483870967742	0.796296296296296	0.885106382978723	0.910344827586207	0.844444444444444	0.976744186046512	0.952380952380952	0.907849829351536	0.864864864864865	0.801980198019802	0.932038834951456	0.91304347826087	0.90990990990991
"AqFl2-03"	0.996491228070175	0.976190476190476	0	0.936507936507937	0.976923076923077	0.769230769230769	1	0.625	0.9	1	0.75	0.980392156862745	0.869565217391304	1	0.951219512195122	0.769230769230769	0.777777777777778	1	1	0.987179487179487	1	1	0.769230769230769	0.976470588235294	1	0.971428571428571	0.85	0.991150442477876	0.968992248062015	0.555555555555556	1	0.978260869565217	0.990712074303406	0.934782608695652	0.984126984126984	0.857142857142857	0.985849056603774	0.875	0.727272727272727	0.973684210526316	0.98936170212766	0.996784565916399	0.96551724137931	0.833333333333333	0.997005988023952	0.888888888888889	1	0.99288256227758	0.926829268292683	0.941176470588235	1	0.727272727272727	0.976923076923077	0.888888888888889	1	1	0.9375	0.989795918367347	0.896551724137931	1	0.983739837398374	0.882352941176471	1	0.9	0.996503496503496	0.9375	0.976744186046512	1	0.692307692307692	0.988505747126437
"AqFl2-04"	0.934782608695652	0.901098901098901	0.936507936507937	0	0.789808917197452	0.942028985507246	0.962962962962963	0.953846153846154	0.913978494623656	0.939102564102564	0.941176470588235	0.833333333333333	0.949367088607595	0.93491124260355	0.837209302325581	0.942028985507246	0.932432432432432	0.825174825174825	0.938953488372093	0.9375	0.989130434782609	0.975	0.91044776119403	0.829268292682927	0.965217391304348	0.943181818181818	0.933333333333333	0.8125	0.805031446540881	0.923076923076923	0.939759036144578	0.927835051546392	0.953551912568306	0.96078431372549	0.813725490196078	0.89041095890411	0.929133858267717	0.936708860759494	0.924242424242424	0.765957446808511	0.845794392523365	0.933526011560694	0.916666666666667	0.945945945945946	0.951871657754011	0.915492957746479	0.802469135802469	0.934169278996865	0.89010989010989	0.958333333333333	0.8	0.907692307692308	0.789808917197452	0.9125	0.952908587257618	0.959183673469388	0.954022988505747	0.752	0.927710843373494	0.940740740740741	0.778523489932886	0.898550724637681	1	0.985074626865672	0.948012232415902	0.971428571428571	0.949275362318841	0.952662721893491	0.927536231884058	0.801652892561983
"AqFl2-05"	0.920844327176781	0.935897435897436	0.976923076923077	0.789808917197452	0	0.946969696969697	0.953125	0.969230769230769	0.92258064516129	0.938502673796791	0.954545454545455	0.823834196891192	0.958041958041958	0.944206008583691	0.885906040268456	0.954887218045113	0.941605839416058	0.768421052631579	0.925187032418953	0.931216931216931	0.974193548387097	0.957692307692308	0.938931297709924	0.8	0.960687960687961	0.953947368421053	0.926470588235294	0.803030303030303	0.738916256157635	0.961832061068702	0.919896640826873	0.944099378881988	0.92326139088729	0.957575757575758	0.801282051282051	0.927007299270073	0.926984126984127	0.958333333333333	0.946153846153846	0.793969849246231	0.762845849802372	0.933823529411765	0.929824561403509	0.964028776978417	0.942263279445728	0.948529411764706	0.767772511848341	0.923076923076923	0.915584415584416	0.955555555555556	0.8	0.946153846153846	0.763285024154589	0.9375	0.940334128878282	0.93984962406015	0.946308724832215	0.786885245901639	0.966666666666667	0.939759036144578	0.766169154228856	0.924242424242424	0.992481203007519	0.984848484848485	0.926701570680628	0.976470588235294	0.939698492462312	0.947368421052632	0.970588235294118	0.807909604519774
"AqFl2-06"	0.986111111111111	0.886363636363636	0.769230769230769	0.942028985507246	0.946969696969697	0	0.996478873239437	0.692307692307692	0.80952380952381	0.992805755395683	0.6	0.942307692307692	0.857142857142857	0.984251968503937	0.911111111111111	0.705882352941177	0.6	0.982608695652174	0.993589743589744	0.950617283950617	0.975609756097561	0.993464052287582	0.625	0.955056179775281	0.99672131147541	0.894736842105263	0.681818181818182	0.983050847457627	0.97037037037037	0.642857142857143	0.993311036789298	0.918367346938776	0.984709480122324	0.877551020408163	0.955223880597015	0.75	0.981566820276498	0.862068965517241	0.571428571428571	0.948717948717949	0.973821989528796	0.990476190476191	0.918032786885246	0.826086956521739	0.98813056379822	0.869565217391304	0.992957746478873	0.985964912280702	0.888888888888889	0.588235294117647	0.970588235294118	0.666666666666667	0.954887218045113	0.8	0.993846153846154	0.99009900990099	0.823529411764706	0.980582524271845	0.914285714285714	0.991416309012876	0.96031746031746	0.75	1	0.9375	0.993127147766323	0.944444444444444	0.943820224719101	0.996688741721854	0.789473684210526	0.967032967032967
"AqFl2-07"	0.633004926108374	0.927835051546392	1	0.962962962962963	0.953125	0.996478873239437	0	0.992805755395683	0.938983050847458	0.621827411167513	1	0.969613259668508	0.961267605633803	0.735483870967742	0.987012987012987	1	0.996551724137931	0.961748633879781	0.616306954436451	0.843853820598007	0.926056338028169	0.708978328173375	0.996478873239437	0.977011494252874	0.588089330024814	0.92226148409894	0.993103448275862	0.956403269754768	0.961240310077519	1	0.617647058823529	0.910344827586207	0.60981308411215	0.888111888111888	0.981651376146789	0.986159169550173	0.64804469273743	0.957746478873239	0.99288256227758	0.945355191256831	0.872235872235872	0.626477541371158	0.877133105802048	0.964285714285714	0.595348837209302	0.996527777777778	0.942708333333333	0.673076923076923	0.946127946127946	0.996503496503496	0.966292134831461	0.99288256227758	0.930851063829787	0.943462897526502	0.621495327102804	0.628915662650602	0.958762886597938	0.977777777777778	0.947552447552448	0.689473684210526	0.949333333333333	0.993006993006993	1	1	0.599496221662469	0.904109589041096	0.829508196721311	0.595533498759305	0.996491228070175	0.965217391304348
"AqFl2-08"	0.98943661971831	0.926829268292683	0.625	0.953846153846154	0.969230769230769	0.692307692307692	0.992805755395683	0	0.875	0.996350364963504	0.769230769230769	0.980582524271845	0.826086956521739	0.991869918699187	0.952380952380952	0.785714285714286	0.85	0.990990990990991	0.996753246753247	0.974358974358974	1	0.993243243243243	0.785714285714286	0.988505747126437	0.996666666666667	0.942857142857143	0.8	0.991228070175439	0.977099236641221	0.727272727272727	0.996610169491525	0.956521739130435	0.987616099071207	0.91304347826087	0.984375	0.863636363636364	0.981132075471698	0.88	0.75	0.973913043478261	0.984042553191489	0.993569131832797	0.948275862068966	0.842105263157895	0.994011976047904	0.894736842105263	1	0.98932384341637	0.928571428571429	0.882352941176471	1	0.75	0.969230769230769	0.892857142857143	0.996884735202492	0.996666666666667	0.90625	0.98989898989899	0.862068965517241	0.995633187772926	0.983870967741935	0.888888888888889	1	0.909090909090909	0.993006993006993	0.916666666666667	0.965116279069767	0.996632996632997	0.8	0.988636363636364
"AqFl2-09"	0.918918918918919	0.737704918032787	0.9	0.913978494623656	0.92258064516129	0.80952380952381	0.938983050847458	0.875	0	0.930555555555556	0.833333333333333	0.930232558139535	0.775510204081633	0.878571428571429	0.884057971014493	0.863636363636364	0.782608695652174	0.949275362318841	0.927899686520376	0.78494623655914	0.833333333333333	0.896969696969697	0.75	0.929203539823009	0.946372239747634	0.75	0.836734693877551	0.942857142857143	0.943037974683544	0.853658536585366	0.921311475409836	0.693548387096774	0.931750741839763	0.761194029850746	0.923076923076923	0.816326530612245	0.898230088495575	0.729166666666667	0.857142857142857	0.921428571428571	0.912621359223301	0.928792569659443	0.72972972972973	0.804347826086957	0.939655172413793	0.897959183673469	0.944444444444444	0.910652920962199	0.8	0.869565217391304	0.944444444444444	0.857142857142857	0.894039735099338	0.769230769230769	0.937125748502994	0.932907348242812	0.807017543859649	0.944444444444444	0.754716981132076	0.908713692946058	0.932885906040268	0.795454545454545	0.977272727272727	0.953488372093023	0.922818791946309	0.819444444444444	0.815533980582524	0.942492012779553	0.840909090909091	0.939130434782609
"AqFl2-10"	0.618090452261307	0.907473309608541	1	0.939102564102564	0.938502673796791	0.992805755395683	0.621827411167513	0.996350364963504	0.930555555555556	0	0.992779783393502	0.939481268011527	0.956834532374101	0.722772277227723	0.959322033898305	0.992805755395683	0.985815602836879	0.931623931623932	0.61501210653753	0.829351535836177	0.924731182795699	0.716510903426791	0.981818181818182	0.949101796407186	0.607407407407407	0.91304347826087	0.97864768683274	0.932203389830508	0.935656836461126	0.992727272727273	0.612903225806452	0.885304659498208	0.621495327102804	0.890070921985816	0.955414012738854	0.97508896797153	0.646892655367232	0.945652173913043	0.992753623188406	0.917613636363636	0.853535353535353	0.631828978622328	0.851063829787234	0.967391304347826	0.587264150943396	0.985714285714286	0.924932975871314	0.642679900744417	0.923076923076923	0.989247311827957	0.941690962099125	0.989090909090909	0.909340659340659	0.934782608695652	0.623529411764706	0.59	0.950704225352113	0.941690962099125	0.939068100358423	0.641873278236915	0.91340782122905	0.985663082437276	0.996350364963504	0.996350364963504	0.629353233830846	0.898601398601399	0.802721088435374	0.600997506234414	0.989208633093525	0.920245398773006
