""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	0.734761379165931	0.924899709003872	0.71345364303111	0.6665013543915	0.855201887754044	0.482349280628451	0.859920665066864	0.737349137273226	0.500006666751331	0.803435547451266	0.757691504167146	0.716817394595591	0.600959980983028	0.772595766903722	0.893554962531636	0.809426510087438	0.713679476006092	0.467296516756622	0.600109628031143	0.763774108943567	0.574720349103715	0.832942738152516	0.709552629984519	0.46586339711255	0.725934135931368	0.819740199266505	0.753304631143474	0.701679723589925	0.859715426402694	0.462001572721904	0.71719605181206	0.459000478978866	0.640512497924847	0.730952063812174	0.761859392221829	0.509342903536988	0.80040635650735	0.851785585670409	0.704234938651541	0.644674551403447	0.498091891202021	0.664673724015415	0.795863316233446	0.44474233814589	0.844734968048102	0.729451633112592	0.496822793239899	0.666778633116931	0.86006811515166	0.743247000052069	0.851123738135677	0.679169048257411	0.7688388422014	0.478810040445553	0.500856416430077	0.719750734469092	0.719271629635714	0.710344598981113	0.50347251915616	0.710038714469405	0.838512646253979	0.916981669832948	0.920105958529974	0.461402564147089	0.6863371495152	0.63006146685403	0.479875339696142	0.845604989300665	0.70684135192198
"AqFl2-02"	0.734761379165931	0	0.848801789738723	0.744915778283949	0.767438582815278	0.655445817561935	0.787274111040368	0.683866990555869	0.540473205156176	0.807696877863832	0.661941788511413	0.784241713716211	0.53838481915786	0.656944950607436	0.677673388299805	0.723014750445506	0.672949027466285	0.815023327602313	0.774892266322469	0.577645565751366	0.608225845158435	0.714641261369132	0.610879973099547	0.762716842899678	0.79511209799101	0.45012891658905	0.651829207298827	0.854094438673373	0.798967012713378	0.648817796366719	0.776891265676047	0.497411211338192	0.798747585296325	0.583019483726452	0.756806907514436	0.647732089567002	0.74656239758727	0.581823496190755	0.685349526202101	0.758095579455768	0.801617138009269	0.810169611870652	0.451149024533649	0.589926758088716	0.800024679991256	0.665900887512193	0.784036176943004	0.798679073397953	0.585296380365848	0.612207535437805	0.749818883609728	0.655960287681298	0.717936060484709	0.471765521707181	0.797207507156609	0.802395304433107	0.592178091609828	0.820014491523459	0.568753719084414	0.783186342328438	0.792987160008158	0.638952491085126	0.881228145276046	0.782266709332714	0.77946718881168	0.596132085825328	0.595008076775985	0.793295835883502	0.671488395534355	0.710130858309599
"AqFl2-03"	0.924899709003872	0.848801789738723	0	0.827433455566585	0.90098852560507	0.692712941568258	0.971582103246785	0.416181769885637	0.752489904633238	0.974991982119681	0.676595240448096	0.949395970647789	0.749593359092709	0.901216845753768	0.76888548022989	0.608419459340922	0.676542245194006	0.908982052747425	0.940440000336484	0.865247223925029	0.927304486734997	0.965191921066763	0.562039780921243	0.911245624101757	0.976688874241519	0.837415041599312	0.732286211347497	0.965525448769083	0.856981657071104	0.584512911131252	0.945209956897741	0.851637206659113	0.931593887723837	0.788293456517243	0.819825338152904	0.740665622956882	0.899576809224799	0.683587794475821	0.603597144787695	0.872414221466176	0.96454701647395	0.971757436976774	0.77701695478845	0.674903389036166	0.941982596494246	0.681590625354745	0.913749382307773	0.941233296311839	0.819717727520072	0.779681075335007	0.913603767620642	0.577985697604139	0.869022891418752	0.769588278941898	0.944335633843133	0.978268138791138	0.81686236530165	0.918825734715439	0.736873905691663	0.972713813447582	0.930195068374991	0.750545538691293	0.868109357198008	0.708225472626379	0.929256119398822	0.78458971031787	0.863027089530004	0.951429789669429	0.670971042037692	0.887017360079674
"AqFl2-04"	0.71345364303111	0.744915778283949	0.827433455566585	0	0.604480591427009	0.744214914451549	0.770472458761058	0.71896309099283	0.723323526537914	0.799141714849568	0.711051442688789	0.640804523636232	0.697250520806678	0.725867825514004	0.538977169366297	0.82125301232473	0.773662515958595	0.600328810629444	0.757470550173306	0.703718633702181	0.835271471548586	0.776884430155814	0.692642900799544	0.618587666734007	0.779101951963465	0.699241175795087	0.715539549660594	0.638853364835426	0.581145362660979	0.713631567047668	0.7677658677865	0.708392009753696	0.739482745651028	0.72296332738341	0.545496599139255	0.645869961809661	0.687567538148379	0.728393797961056	0.769935788913697	0.570585021296235	0.662569165813236	0.78351291890025	0.69690380913705	0.73356965300174	0.765053973360684	0.67432868109718	0.598553070697464	0.731061619233026	0.644832485253768	0.786306983098806	0.597252475250961	0.713513112123734	0.575951886679403	0.719581019373036	0.760337043975383	0.77570603760733	0.713907486724257	0.506720599020816	0.661105413696513	0.792460257898844	0.60123191699708	0.722179741526886	0.910043185814111	0.85179166469649	0.784230022709963	0.645029527111478	0.754421434930087	0.786612961292774	0.711380319496832	0.533132325151157
"AqFl2-05"	0.6665013543915	0.767438582815278	0.90098852560507	0.604480591427009	0	0.811111162667302	0.71451275744292	0.835878667449466	0.750217848756194	0.713543572507525	0.744063562349009	0.579519418823942	0.721237368939389	0.700705581983463	0.648875455350075	0.844223678069815	0.762213827068839	0.55782890748624	0.657687711262967	0.725312212191953	0.840787671616797	0.749174369619917	0.781024614775009	0.53672715972029	0.705724744700344	0.769227087405547	0.746389761721957	0.60880350444667	0.569420832615592	0.813467605649123	0.700058914199204	0.771504376940534	0.639406344736287	0.712924762096205	0.608832311375343	0.673991967045416	0.696811096520208	0.819252579023217	0.812531895985507	0.578509690876207	0.630129197415752	0.716220343941157	0.74078274094903	0.808859630462265	0.687415718533013	0.799625377683116	0.548328819575632	0.683124224975528	0.625507683992711	0.819611097065017	0.574532341406016	0.804483990363662	0.533108552653835	0.744563139264487	0.680744666371595	0.703252300685384	0.713326904238699	0.596202232791731	0.730991059031014	0.723875371961884	0.55578198751179	0.789299569281705	0.901396133838312	0.908736771716754	0.717553211379195	0.75369747549972	0.712462611241258	0.699223813522394	0.823067339619798	0.573633306660657
"AqFl2-06"	0.855201887754044	0.655445817561935	0.692712941568258	0.744214914451549	0.811111162667302	0	0.890690698669168	0.551569402969235	0.579909238930193	0.900955560410307	0.533361664322119	0.839691776245479	0.600077658597034	0.820100244320211	0.654300725341934	0.516769622848079	0.441885688722127	0.853133257823969	0.87568945078474	0.761706179227791	0.78469117015134	0.865225268318971	0.506641219225977	0.814052609861814	0.890832541338365	0.637868237647321	0.509207922823346	0.922544964685778	0.834334735425041	0.462769263132305	0.86986671943031	0.700284948103457	0.86649326171864	0.630354267073062	0.780561971001379	0.630881882957125	0.841682497553768	0.671341587759916	0.575451148607798	0.791899372094881	0.8859938811516	0.909442129808219	0.648101239973881	0.553848312663609	0.874648661035078	0.652290878739326	0.848456326503407	0.886681503059039	0.669765074703752	0.379251468752092	0.804235521565912	0.527907966972147	0.797420836227814	0.526226164377469	0.883581725001642	0.87955674746219	0.708181888447551	0.854529896674937	0.69520987878676	0.907495984804972	0.84375245688896	0.581221106102363	0.90400667790726	0.804924417430102	0.897907404752091	0.689257193362768	0.76311126920278	0.880535821358953	0.64834758644716	0.786981367553477
"AqFl2-07"	0.482349280628451	0.787274111040368	0.971582103246785	0.770472458761058	0.71451275744292	0.890690698669168	0	0.908543889057982	0.794368598213402	0.409658118843792	0.863394094645746	0.776879228212356	0.78398999895122	0.589186455507762	0.83862939248369	0.93534845270386	0.85692504859201	0.737808055505211	0.459320293895412	0.67715331502826	0.766574744975085	0.505785787208287	0.898305254622572	0.761080167959958	0.463615984866577	0.771287106011116	0.874898039459137	0.753336451488377	0.755641275525867	0.910898251614809	0.484977463907262	0.7585274558866	0.454332244144959	0.704714466077138	0.799601783568748	0.806785655435651	0.508598443333069	0.856132846447872	0.908055479304954	0.742199788960289	0.653167861653659	0.460647222259682	0.724980961179356	0.856056846056715	0.463091376843141	0.89222492930453	0.737563434577741	0.485575575938146	0.68139323563538	0.891943251621246	0.756955741400833	0.900741800236053	0.696203785667996	0.803036071518157	0.46854240608634	0.443771686600141	0.75491124584616	0.735301748690924	0.773128174948273	0.494839995441662	0.738465967991938	0.875455647960044	0.923991405739036	0.927204663407459	0.482163265481674	0.732128965175595	0.676919756489082	0.484312587042074	0.901093004325606	0.751416861817429
"AqFl2-08"	0.859920665066864	0.683866990555869	0.416181769885637	0.71896309099283	0.835878667449466	0.551569402969235	0.908543889057982	0	0.597906544412879	0.921866697732136	0.5802563703435	0.873913252123611	0.588398605148612	0.790921779101648	0.669452897747322	0.682730388013549	0.59348793244182	0.826161315621296	0.884220092589226	0.735362379918224	0.801516895546354	0.877391697968234	0.50021531412837	0.82901431794643	0.918229408895374	0.656486270166165	0.605258863906184	0.920377124083153	0.786924193006645	0.436136493643669	0.889278193235146	0.687903102071754	0.88172335457399	0.67532938762416	0.741339320292096	0.586820725168812	0.827783396761305	0.554368254496255	0.62466661235126	0.79785856000809	0.896209506184749	0.920555964123033	0.611999700611367	0.567962882363116	0.891102881042642	0.507901367961343	0.846282188363412	0.883426263405413	0.707696122826026	0.642137016418318	0.845673803553209	0.534940199978446	0.789758497296242	0.623974696489077	0.891849835107917	0.92511670177987	0.68372206887594	0.845478700069504	0.567388558214949	0.904148383954291	0.864424308693057	0.638878705050922	0.879780680438214	0.59323915711388	0.872851150044348	0.62565244011181	0.745570318883067	0.898013435502376	0.513860251598261	0.794127556633739
"AqFl2-09"	0.737349137273226	0.540473205156176	0.752489904633238	0.723323526537914	0.750217848756194	0.579909238930193	0.794368598213402	0.597906544412879	0	0.800034525155374	0.662820402176259	0.799397732023837	0.520250631376106	0.687429490281311	0.669829166702682	0.674166049470889	0.567387882994144	0.811448335164351	0.756344248612705	0.563423549004315	0.673232600575315	0.732240956025845	0.620375424937654	0.775290503774948	0.794160355504009	0.541092948191939	0.546029580690325	0.875916376019578	0.764295176777745	0.652036196163965	0.753000206493199	0.528643904999126	0.775772213929662	0.588487586761557	0.708787790682438	0.613631864003391	0.718884768893849	0.58234977211799	0.682429836572639	0.757070505537062	0.785848451190626	0.802432398692922	0.494878155220039	0.595206738827424	0.767826626579289	0.677003727783779	0.775915283926967	0.777552191611146	0.622627314201764	0.623533850297641	0.775306419025641	0.657957610785058	0.692753305010927	0.477549672674574	0.777697997620414	0.803972109592723	0.583255814589388	0.82148800622046	0.55558863971705	0.78375792288815	0.803424432552901	0.685997321520704	0.903946395306355	0.762500687538874	0.772330570156234	0.584000477291958	0.587793670265158	0.781580168427338	0.612050736774332	0.742213020367069
"AqFl2-10"	0.500006666751331	0.807696877863832	0.974991982119681	0.799141714849568	0.713543572507525	0.900955560410307	0.409658118843792	0.921866697732136	0.800034525155374	0	0.873529507887316	0.772355733437931	0.802293825379268	0.625457681077035	0.834989199747489	0.938079288349924	0.86566141566757	0.758884843737365	0.409396140201267	0.695772872858982	0.784462202453136	0.527182985747166	0.897931318175531	0.763118939586031	0.444474627676021	0.786117031212207	0.864357870510258	0.776205758477698	0.757130793165072	0.914775164044839	0.433819581813547	0.761884800834587	0.43087772129607	0.736602435993044	0.795229615225336	0.811219367211936	0.500690514882692	0.870402560647133	0.914046701376075	0.755028804963704	0.677006607559233	0.416052490064457	0.745202535157044	0.865000742507208	0.406962203543858	0.892200817734561	0.744669957715931	0.447940054860566	0.706917501684616	0.899366649077006	0.760816629754963	0.911595234107785	0.711408941571691	0.816266724592083	0.436652918917137	0.428097777374174	0.745564382392165	0.764597557035309	0.791717898233797	0.446726808934556	0.747732911449352	0.888909678860747	0.927474660672875	0.928325388392578	0.430737416107412	0.765721873776444	0.697552978797518	0.43278834510324	0.899019060217477	0.762474583065816
