""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-60"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	2.04240931262192	3.29049834417792	2.92181699639885	2.71609064566457	3.66291280325357	2.64984419671991	3.14637632161644	2.17556068201625	0.503628657401592	3.0216933839289	2.2597116720522	3.61068191174298	3.02683465909523	2.93349401907762	3.80375662174619	3.20795984960104	2.39917449996904	0.0927198751493166	1.6882904931175	3.09048741137258	2.80544270895928	3.14719668206427	3.11780022491058	1.75168258824785	2.193673593225	3.19373851024567	2.35929766846649	2.38490688710602	3.38933460937046	0.331058450276665	1.73698858553587	1.89149515203698	3.77197609663351	3.19824086850547	2.65400773907142	2.72977378177064	3.15670986755487	3.51710893420835	2.11705685673829	2.41330344870015	1.68052961234451	0.528352231104693	1.67150225120604	3.00888601490067	1.58696326204752	2.71277285529324	2.5876222977729	0.687580470433332	2.20119089699927	2.48676697025154	2.16617549715997	3.39484836125396	2.64837194949299	2.52106001976157	0.905937178089191	1.16212362266374	1.71435021985961	2.31437859769273	2.57805244024369	2.74882623436447	1.82071258432902	2.11868432777606	2.49605012953648	3.33887580586933	3.28121115854309	2.15195799249036	3.46036518844525	2.2482746229283	1.00915294129304	3.31213270627685	2.95080412590717
"AqFl2-02"	2.04240931262192	0	1.54794154893644	2.14409053891921	1.70640916971363	1.7178779135698	2.67849850030311	1.44642429107584	0.542692219107192	1.80190541367895	1.11720088636284	1.65540962284568	2.33877517330296	2.79818947437489	1.7710578863712	2.1284100805845	1.2568111714172	1.53689806829552	2.10783323623452	0.381985715901664	1.79334736519199	2.74201691576902	1.31968131648613	2.37272816479954	2.24258126148645	0.540853812656127	1.42903901667453	1.03451944171926	1.60999028862261	1.61945329275827	2.26652802211775	0.325045888295228	2.30511947568888	2.68868834992609	2.4030764322334	0.927345001494441	2.93426894449104	1.9110466501188	1.68304454247114	1.53943154612602	0.637229225491949	1.55269083829249	1.96034012862145	0.407170071889485	1.57291554968279	2.09420859573948	0.899001202305385	1.18963785813577	2.06200005182468	0.711442062325134	0.714067992236613	1.42640129749177	1.56776317325777	2.08686749984137	1.09465272993826	1.96731975887351	1.85182827284713	0.888549226887107	1.74261543577649	0.626134520325658	1.28043956183251	1.84485498534441	1.48073923079374	0.51129522716574	1.87055697435402	2.04518937790268	2.46985147789023	2.30191199415843	0.590377020393194	1.99737367181684	1.59557030297867	2.11214072490952
"AqFl2-03"	3.29049834417792	1.54794154893644	0	2.10353159502829	2.05999189440658	0.630877964420159	3.50334546851833	0.654985651385238	1.30142676176489	2.94922550004953	0.561109675294361	2.74174885344551	1.1948980497479	2.53998349807414	1.04338105967343	0.708298300126717	0.579370928098463	1.93150842259399	3.33606341194085	1.74609150480523	1.14670191181882	2.73981215058358	0.454337659249999	2.05257683581299	3.30350246699188	1.6425490573981	0.271132341788131	2.33322616612079	2.20701236941593	0.200044931783512	3.4226556618347	1.83349278309492	2.76270088388699	1.69141489043195	2.12484669663715	0.700750325656714	2.80234904209679	1.0992139981246	0.322206421638408	2.20951083509231	1.42871251764564	2.59700069867254	3.06914002295417	1.73968313601471	0.961252882173354	2.9651880800481	0.661069931718795	1.330133155905	3.03806004845574	1.43470823246331	1.49389527968041	2.43852255113286	0.452878331562299	2.03177335675275	1.02283488584842	3.18863591584682	2.87021893418991	2.06514013691451	2.74990500638856	1.02523125003059	0.709975368187482	2.11978427088734	2.64169544476736	1.09188020229203	1.22934215955111	0.990932341637339	2.74247615171147	1.4669341605513	1.43819841698745	3.19012939770829	0.319116192469814	2.14829545094144
"AqFl2-04"	2.92181699639885	2.14409053891921	2.10353159502829	0	0.79687860849364	2.41033955241117	4.57698456093419	2.59206835668516	2.32354005248705	2.85745357737993	2.25667634840529	1.8817061263676	2.82727680933635	3.49597384954855	1.38270828862187	2.72209000780406	2.13990642336998	0.694907081689733	2.97827413082871	2.17367038128893	2.85676023255916	3.70980660945229	1.83338268978185	0.525982323825802	3.97120046384764	2.64274599624047	2.27726171254422	2.51571108344319	0.935937267661511	2.02330290312649	2.91757494841646	2.1791947241094	3.28716821030077	3.25522981529452	0.385837570092586	1.73424992064805	3.00712876086981	2.73011190583386	2.37485085436571	0.971473092396021	1.70687737247927	1.56125073112726	2.96598396338698	2.14161026960343	2.71750993072114	3.57218431259876	2.05142037648613	1.03847978845466	2.51772117262227	1.441116972942	1.74764542078071	1.5974354693176	1.90986254568189	0.577671779398875	2.41219280090428	3.40063289530679	3.25418855525477	2.83261048426271	1.74808063853542	1.89518886185135	2.20048979260869	2.05319276208409	1.91998677108139	1.99462983897192	3.14165167219617	2.4378620720451	3.27962211062246	3.147054849671	2.55184484089391	3.46283841684937	2.37973330466152	0.240035098383397
"AqFl2-05"	2.71609064566457	1.70640916971363	2.05999189440658	0.79687860849364	0	2.21655653880224	4.30530774929963	2.47597784540732	2.04323762069581	2.69319880814198	2.02443917719067	1.17392362946207	3.01308285071807	3.72249822077669	1.68974295988563	2.75492381518931	1.87906380486695	0.434534925036032	2.78995514260538	1.80982696086277	2.86910226013358	3.84685305672268	1.67126339171816	1.28823876688309	3.71211270629522	2.23762802800255	2.18274087106311	1.81349087499466	0.365201718788895	1.97668821250056	2.79079998769715	1.73406086877538	3.3565836573764	3.46726651755656	1.15110290382462	1.55781996130709	3.39391984466768	2.81854666350793	2.2788705985278	0.632737634760051	1.17684875880751	1.14700574738112	2.8313771666443	1.78952375784989	2.67543605261661	3.43514586150747	1.84374114462313	0.763961416472972	2.49266959342255	1.03192510564837	1.17347578723173	0.90665707365834	1.79178193067138	1.19500477776402	2.30161519133601	3.15533149591301	3.0915664981452	2.49679012257022	1.05828003642645	1.51300061046026	2.17696195534485	2.27222910667317	1.22117096853834	1.60583149565758	3.06633156579377	2.63490518274027	3.42357194177277	3.25918315149807	2.21750031775628	3.22438963185475	2.33039375974663	0.608259324688017
"AqFl2-06"	3.66291280325357	1.7178779135698	0.630877964420159	2.41033955241117	2.21655653880224	0	3.72777232699077	0.940391143088354	1.58172828493831	3.35063894728086	0.678850495367322	2.8130832713003	1.67162913092269	3.09300257621735	1.60031139973569	0.926060451587579	0.470528192540312	2.20293283155646	3.71773775978788	2.01215453394555	1.57832031877051	3.25411461721963	0.634272834599806	2.44202618905911	3.60073501486594	1.77306745538188	0.676878536168483	2.27284780089612	2.40791022090221	0.55503665053507	3.83114638223614	2.03668059990432	3.2798186372076	2.14576589017655	2.45936422967063	1.06110836951783	3.42468706685273	1.60149702027599	0.405347514669024	2.48027055603633	1.51434041051874	2.84915335593256	3.48539724182147	2.01764331792082	1.36726100726301	3.35930185695857	0.970333909321141	1.57489871113997	3.49366973121585	1.66787430838145	1.53102237605822	2.55379239531119	0.512772456201225	2.46812652451778	1.44658926266069	3.531910765909	3.26376722338939	2.3132980573013	2.83760975711101	1.14430365208102	1.24466552637353	2.69414465324421	2.72314319853896	1.21894415759225	1.47859653297733	1.5658642249619	3.29185230408353	1.90306915831086	1.63374856870553	3.53495870236013	0.736368708373599	2.39924823207869
"AqFl2-07"	2.64984419671991	2.67849850030311	3.50334546851833	4.57698456093419	4.30530774929963	3.72777232699077	0	2.92823985187732	2.42476039551352	2.29450019171013	3.126337763672	3.98385713695201	3.41412202287466	2.71345588220483	3.79467664909611	3.610438172432	3.44355231434483	4.02829819596946	2.63376607218701	2.49700380284107	2.69121579518934	2.24190157718846	3.5927694374387	4.65635987311228	0.909514782872868	2.24161494410671	3.25463742183117	3.18166937380512	4.12170371732663	3.68046170226408	2.87038128828562	2.60366688823211	2.05515310829816	3.3462817362681	4.77671869142712	3.22373800938783	3.37350680271765	2.92519905861921	3.5415801632019	3.93651398371245	3.31348001761528	3.71008751458647	2.30068118855655	2.51599285019093	2.69461107864501	1.31720055170177	3.00961068120342	3.76285915759901	2.93955274132145	3.31512988592573	3.38214029922417	3.85299317385841	3.79524760359775	4.28329957395734	2.53119964793334	1.74776295528202	1.63647454979374	1.81421425893808	4.10800429654565	3.13327555963941	2.91291597117294	3.02586718981918	3.78216698418258	2.99560593323627	2.64891733248333	3.35810844787971	2.31875211439423	2.9458076680353	2.27814683329807	1.64692425844414	3.29681138774463	4.61567429839076
"AqFl2-08"	3.14637632161644	1.44642429107584	0.654985651385238	2.59206835668516	2.47597784540732	0.940391143088354	2.92823985187732	0	1.03680106890972	2.75062048750093	0.552637560612331	2.93820908945043	1.10290491351733	2.23144653191642	1.46748079249232	0.776442971625586	0.839814777174759	2.30096732669928	3.18412590016251	1.60660839523105	0.681351423876184	2.34237431625911	0.943721574983227	2.56008195297368	2.84051734987046	1.32129318235616	0.393444018064726	2.31340886727994	2.54929136188326	0.837928382839377	3.30960743359476	1.72549182636224	2.43616087329593	1.48203232982084	2.65421233831477	0.926545696910967	2.71943466976016	0.799513140387789	0.636563157933958	2.50537324322969	1.59062468423164	2.77200374304227	2.86280082792204	1.609594377569	0.443311763441436	2.54719408351441	0.666514802999996	1.71952536290577	2.97129220640368	1.6291760476902	1.66467377818893	2.65450576829989	1.03095723400331	2.4459333934804	0.652958142664485	2.87081435959624	2.52705646635627	1.70335972028138	2.98118256228682	1.12678048011156	0.563077063650737	2.11048459898127	2.80132224098353	1.11111218398205	0.630374175484314	1.006222650937	2.44644183837509	1.11383650787543	1.0949792877022	2.85299790250272	0.386934459650513	2.63842561282152
"AqFl2-09"	2.17556068201625	0.542692219107192	1.30142676176489	2.32354005248705	2.04323762069581	1.58172828493831	2.42476039551352	1.03680106890972	0	1.82410405386777	0.9052254088086	2.16804383276241	1.88052119475396	2.31755952016358	1.60350199178446	1.76952749405925	1.17171645517696	1.81302447475137	2.2228635597252	0.591105588396824	1.27464792956722	2.27220286732466	1.23778780867471	2.43898051731868	2.08753921007469	0.479871849886677	1.12481998797639	1.54661654038063	1.97643641028753	1.43111149500844	2.37712685884818	0.736281250867565	1.9670525994056	2.18862820874425	2.51613730836143	0.820969469357907	2.59045810270861	1.41520152290716	1.43579441611655	1.87069024754076	1.02431210984631	1.9484915071933	1.95945920796904	0.600579208363092	1.0701526638446	1.85344475610114	0.667102679511482	1.38963335705364	2.11689532989592	1.01516394000643	1.12157677537241	1.91165636955522	1.47533609784979	2.1625695801422	0.581608028772659	1.95047338722565	1.70507408539664	0.771455852149913	2.23937281404356	0.750137342261458	0.858639881258581	1.64615294668322	1.99769239650992	0.63043556700729	1.37399185261262	1.62031510529892	2.10002342482737	1.78395432089413	0.265713439864922	1.95372114394476	1.25745797365229	2.34062222627591
"AqFl2-10"	0.503628657401592	1.80190541367895	2.94922550004953	2.85745357737993	2.69319880814198	3.35063894728086	2.29450019171013	2.75062048750093	1.82410405386777	0	2.69109304673973	2.38789843634768	3.17442547835828	2.5507177843795	2.64120188429246	3.40985869086107	2.91298729455358	2.34466235701086	0.49431676634777	1.4244441869761	2.63694009640944	2.31893631153807	2.86059664068115	2.99677579352703	1.4276728670982	1.88315111372704	2.83353950650123	2.3160611965995	2.39864077600605	3.06793564269474	0.665415987213162	1.53148460814795	1.42274815364413	3.30780654255452	3.1030212254194	2.35846030772704	2.35986360424451	2.71004218000177	3.16979586953614	2.12588826293354	2.2468762745009	1.79701708844447	0.169067073665383	1.40627069836877	2.57385388446057	1.14249977432161	2.38372376376189	2.42602382689754	0.683566690106467	2.03010203422065	2.33594388633096	2.23678515797017	3.10652860770309	2.53421339211599	2.10937025653498	0.648053259466409	0.709016061080103	1.35724411645443	2.44609476341104	2.32544414133193	2.35621842389934	1.48529264182631	2.22718506652154	2.23400688840981	2.89131023057213	2.8662515306817	1.69559090901588	2.99135955913856	1.90092358736417	0.723692536502427	2.93728728308548	2.90831079261219
