""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	0.894927536231884	0.996296296296296	0.940983606557377	0.929347826086957	0.996363636363636	0.594936708860759	0.988929889298893	0.918727915194346	0.575197889182058	0.992647058823529	0.938775510204082	0.96	0.745874587458746	0.948275862068966	0.992673992673993	0.989169675090253	0.941340782122905	0.617647058823529	0.833333333333333	0.924460431654676	0.712903225806452	0.985294117647059	0.945121951219512	0.599022004889976	0.907749077490775	0.985611510791367	0.940677966101695	0.931398416886544	0.992619926199262	0.6025	0.882783882783883	0.608040201005025	0.89247311827957	0.940789473684211	0.978260869565217	0.620991253644315	0.952205882352941	0.989051094890511	0.923295454545455	0.95970695970696	0.853403141361257	0.626794258373206	0.856115107913669	0.951672862453532	0.591981132075472	0.989169675090253	0.928	0.64030612244898	0.918149466192171	0.985401459854015	0.943952802359882	0.988970588235294	0.908839779005525	0.934065934065934	0.625298329355609	0.618932038834951	0.949275362318841	0.93859649122807	0.942238267148014	0.630372492836676	0.915730337078652	0.989051094890511	1	0.996309963099631	0.62015503875969	0.904593639575972	0.807560137457045	0.590452261306533	0.989130434782609	0.929203539823009
"AqFl2-02"	0.894927536231884	0	0.954545454545455	0.886363636363636	0.916666666666667	0.914893617021277	0.932038834951456	0.886363636363636	0.714285714285714	0.902439024390244	0.886363636363636	0.922480620155039	0.87037037037037	0.884892086330935	0.888888888888889	0.91304347826087	0.877551020408163	0.923076923076923	0.906451612903226	0.793478260869565	0.895522388059702	0.89873417721519	0.840909090909091	0.9	0.925925925925926	0.732142857142857	0.882352941176471	0.936170212765957	0.947368421052632	0.909090909090909	0.908496732026144	0.709677419354839	0.92483660130719	0.816901408450704	0.897727272727273	0.86	0.887892376681614	0.8	0.893617021276596	0.9	0.770833333333333	0.913265306122449	0.919504643962848	0.743243243243243	0.836734693877551	0.92485549132948	0.9	0.940119760479042	0.9	0.82089552238806	0.847826086956522	0.91869918699187	0.888888888888889	0.91025641025641	0.8	0.933130699088146	0.925	0.839285714285714	0.938461538461538	0.807017543859649	0.875555555555556	0.904761904761905	0.869565217391304	0.931818181818182	0.955555555555556	0.900355871886121	0.785714285714286	0.815533980582524	0.919614147909968	0.897959183673469	0.896
"AqFl2-03"	0.996296296296296	0.954545454545455	0	0.933333333333333	0.977272727272727	0.692307692307692	1	0.75	0.880952380952381	0.992831541218638	0.636363636363636	0.990384615384615	0.875	0.991666666666667	0.904761904761905	0.769230769230769	0.6875	0.983050847457627	0.996710526315789	0.973333333333333	1	1	0.692307692307692	0.951807228915663	1	0.972222222222222	0.789473684210526	1	0.964539007092199	0.6	0.993288590604027	0.954545454545455	0.986254295532646	0.936170212765957	0.932203389830508	0.789473684210526	0.980952380952381	0.869565217391304	0.714285714285714	0.96551724137931	0.863636363636364	0.99438202247191	0.996815286624204	0.927272727272727	0.85	0.994047619047619	0.894736842105263	0.992957746478873	0.992647058823529	0.902439024390244	0.882352941176471	0.979381443298969	0.666666666666667	0.96969696969697	0.857142857142857	0.996835443037975	0.996763754045307	0.892857142857143	0.980392156862745	0.866666666666667	0.995412844036697	0.984	0.875	0.916666666666667	0.916666666666667	0.992673992673993	0.914893617021277	0.964705882352941	0.996677740863787	0.75	0.97029702970297
"AqFl2-04"	0.940983606557377	0.886363636363636	0.933333333333333	0	0.801282051282051	0.954545454545455	0.961194029850746	0.953125	0.862068965517241	0.936102236421725	0.936507936507937	0.837037037037037	0.960526315789474	0.957831325301205	0.790123456790123	0.9375	0.926470588235294	0.845637583892617	0.953079178885631	0.915966386554622	0.954545454545455	0.967741935483871	0.887096774193548	0.747747747747748	0.969014084507042	0.914634146341463	0.943661971830986	0.833333333333333	0.821428571428571	0.918032786885246	0.926829268292683	0.934782608695652	0.948484848484848	0.948453608247423	0.75	0.897058823529412	0.923076923076923	0.916666666666667	0.923076923076923	0.788732394366197	0.867647058823529	0.873170731707317	0.951428571428571	0.89	0.943661971830986	0.957219251336898	0.926470588235294	0.825301204819277	0.934640522875817	0.885057471264368	0.940298507462687	0.782258064516129	0.920634920634921	0.794871794871795	0.88	0.954674220963173	0.962750716332378	0.922077922077922	0.761904761904762	0.897435897435897	0.916	0.830065359477124	0.923076923076923	0.984375	0.984375	0.948553054662379	0.948979591836735	0.931297709923664	0.958823529411765	0.909090909090909	0.8
"AqFl2-05"	0.929347826086957	0.916666666666667	0.977272727272727	0.801282051282051	0	0.970588235294118	0.949874686716792	0.985294117647059	0.917197452229299	0.934036939313984	0.962406015037594	0.830769230769231	0.958333333333333	0.939130434782609	0.873333333333333	0.962686567164179	0.948905109489051	0.772727272727273	0.924623115577889	0.918918918918919	0.961783439490446	0.960474308300395	0.939393939393939	0.764705882352941	0.946987951807229	0.947368421052632	0.957142857142857	0.810945273631841	0.731132075471698	0.969924812030075	0.923664122137405	0.94375	0.930946291560102	0.957831325301205	0.815286624203822	0.942028985507246	0.936908517350158	0.950704225352113	0.955555555555556	0.791044776119403	0.911764705882353	0.76734693877551	0.929095354523227	0.935672514619883	0.957142857142857	0.940229885057471	0.956521739130435	0.785388127853881	0.932795698924731	0.916129032258065	0.955882352941177	0.8	0.946969696969697	0.748792270531401	0.931034482758621	0.932038834951456	0.941320293398533	0.945205479452055	0.779569892473118	0.967105263157895	0.914285714285714	0.786407766990291	0.93984962406015	0.985074626865672	0.985074626865672	0.932975871313673	0.970414201183432	0.928934010152284	0.9375	0.971223021582734	0.779569892473118
"AqFl2-06"	0.996363636363636	0.914893617021277	0.692307692307692	0.954545454545455	0.970588235294118	0	0.996666666666667	0.75	0.844444444444444	0.989399293286219	0.666666666666667	0.97196261682243	0.857142857142857	1	0.914893617021277	0.6875	0.631578947368421	0.983739837398374	0.996763754045307	0.962025316455696	0.977272727272727	1	0.705882352941177	0.942528735632184	0.99685534591195	0.923076923076923	0.727272727272727	1	0.97972972972973	0.733333333333333	0.996710526315789	0.9375	0.986486486486487	0.877551020408163	0.953846153846154	0.782608695652174	0.986111111111111	0.892857142857143	0.722222222222222	0.958333333333333	0.846153846153846	0.983425414364641	0.996865203761755	0.915254237288136	0.833333333333333	0.994134897360704	0.96	1	0.996402877697842	0.91304347826087	0.666666666666667	0.980392156862745	0.6875	0.970802919708029	0.84375	0.996884735202492	0.996815286624204	0.875	0.990740740740741	0.916666666666667	1	0.976744186046512	0.85	0.875	0.941176470588235	0.996415770609319	0.943396226415094	0.955056179775281	0.996732026143791	0.863636363636364	0.971698113207547
"AqFl2-07"	0.594936708860759	0.932038834951456	1	0.961194029850746	0.949874686716792	0.996666666666667	0	0.982993197278912	0.939102564102564	0.625304136253041	1	0.970899470899471	0.963333333333333	0.772727272727273	0.981481481481482	1	1	0.958762886597938	0.607565011820331	0.835483870967742	0.937704918032787	0.72289156626506	1	0.969444444444444	0.57957244655582	0.926421404682274	0.990131578947368	0.944591029023747	0.943488943488944	1	0.635514018691589	0.910891089108911	0.591240875912409	0.897689768976898	0.970326409495549	0.986798679867987	0.664879356568365	0.966666666666667	0.993333333333333	0.939632545931758	0.983552631578947	0.865196078431373	0.62929061784897	0.886363636363636	0.962837837837838	0.632967032967033	0.990066225165563	0.937810945273632	0.632352941176471	0.94551282051282	0.996688741721854	0.964864864864865	1	0.931297709923664	0.95364238410596	0.64027149321267	0.602352941176471	0.967213114754098	0.962566844919786	0.95049504950495	0.644204851752022	0.943444730077121	0.993333333333333	0.996621621621622	0.996621621621622	0.633251833740831	0.912337662337662	0.8375	0.604761904761905	0.996699669966997	0.945652173913043
"AqFl2-08"	0.988929889298893	0.886363636363636	0.75	0.953125	0.985294117647059	0.75	0.982993197278912	0	0.837209302325581	0.982078853046595	0.714285714285714	1	0.75	0.966666666666667	0.911111111111111	0.733333333333333	0.8	0.966386554621849	0.986842105263158	0.918918918918919	0.951219512195122	0.971223021582734	0.75	0.953488372093023	0.987220447284345	0.888888888888889	0.818181818181818	0.991525423728814	0.965277777777778	0.692307692307692	0.986622073578595	0.911111111111111	0.979452054794521	0.872340425531915	0.952380952380952	0.7	0.966666666666667	0.791666666666667	0.764705882352941	0.966386554621849	0.88	0.983240223463687	0.987261146496815	0.912280701754386	0.761904761904762	0.985119047619048	0.909090909090909	0.993103448275862	0.981617647058823	0.883720930232558	0.842105263157895	0.98	0.8125	0.954887218045113	0.870967741935484	0.990536277602524	0.98705501618123	0.866666666666667	0.990566037735849	0.806451612903226	0.981651376146789	0.976377952755906	0.894736842105263	0.769230769230769	0.857142857142857	0.981684981684982	0.875	0.929411764705882	0.98671096345515	0.789473684210526	0.950980392156863
"AqFl2-09"	0.918727915194346	0.714285714285714	0.880952380952381	0.862068965517241	0.917197452229299	0.844444444444444	0.939102564102564	0.837209302325581	0	0.914089347079038	0.837209302325581	0.931297709923664	0.76	0.861313868613139	0.808823529411765	0.840909090909091	0.808510638297872	0.923611111111111	0.917197452229299	0.741573033707865	0.880597014925373	0.89937106918239	0.761904761904762	0.85981308411215	0.935975609756098	0.714285714285714	0.84	0.944055944055944	0.922619047619048	0.86046511627907	0.912337662337662	0.672131147540984	0.928571428571429	0.768115942028985	0.873563218390805	0.791666666666667	0.888392857142857	0.755102040816326	0.847826086956522	0.908450704225352	0.695652173913043	0.902564102564103	0.919753086419753	0.694444444444444	0.816326530612245	0.931232091690544	0.88	0.934131736526946	0.91578947368421	0.73015873015873	0.8	0.928	0.840909090909091	0.896774193548387	0.735849056603774	0.933333333333333	0.928571428571429	0.777777777777778	0.938931297709924	0.69811320754717	0.890829694323144	0.927152317880795	0.847826086956522	0.909090909090909	0.933333333333333	0.916083916083916	0.805555555555556	0.77	0.926751592356688	0.829787234042553	0.905511811023622
"AqFl2-10"	0.575197889182058	0.902439024390244	0.992831541218638	0.936102236421725	0.934036939313984	0.989399293286219	0.625304136253041	0.982078853046595	0.914089347079038	0	0.985714285714286	0.946478873239437	0.94661921708185	0.745980707395498	0.946488294314381	0.982142857142857	0.97887323943662	0.934246575342466	0.603406326034063	0.806896551724138	0.927083333333333	0.689102564102564	0.978571428571429	0.914634146341463	0.601918465227818	0.903225806451613	0.982578397212544	0.933518005540166	0.933161953727506	0.985663082437276	0.605392156862745	0.879003558718861	0.607407407407407	0.896193771626298	0.939297124600639	0.971830985915493	0.627840909090909	0.942652329749104	0.97864768683274	0.91340782122905	0.953736654804271	0.857142857142857	0.596153846153846	0.849122807017544	0.953405017921147	0.617312072892939	0.97887323943662	0.927083333333333	0.639097744360902	0.913494809688581	0.97508896797153	0.933333333333333	0.982142857142857	0.914209115281501	0.925	0.655963302752294	0.594660194174757	0.943661971830986	0.943342776203966	0.933098591549296	0.629213483146067	0.903047091412742	0.97864768683274	0.989247311827957	0.985611510791367	0.608695652173913	0.896551724137931	0.81	0.590123456790123	0.982394366197183	0.909356725146199
