""	"AqFl2-01"	"AqFl2-02"	"AqFl2-03"	"AqFl2-04"	"AqFl2-05"	"AqFl2-06"	"AqFl2-07"	"AqFl2-08"	"AqFl2-09"	"AqFl2-10"	"AqFl2-11"	"AqFl2-12"	"AqFl2-13"	"AqFl2-14"	"AqFl2-15"	"AqFl2-16"	"AqFl2-17"	"AqFl2-18"	"AqFl2-19"	"AqFl2-20"	"AqFl2-21"	"AqFl2-22"	"AqFl2-23"	"AqFl2-24"	"AqFl2-25"	"AqFl2-26"	"AqFl2-27"	"AqFl2-28"	"AqFl2-29"	"AqFl2-30"	"AqFl2-31"	"AqFl2-32"	"AqFl2-33"	"AqFl2-34"	"AqFl2-35"	"AqFl2-36"	"AqFl2-37"	"AqFl2-38"	"AqFl2-39"	"AqFl2-40"	"AqFl2-41"	"AqFl2-42"	"AqFl2-43"	"AqFl2-44"	"AqFl2-45"	"AqFl2-46"	"AqFl2-47"	"AqFl2-48"	"AqFl2-49"	"AqFl2-50"	"AqFl2-51"	"AqFl2-52"	"AqFl2-53"	"AqFl2-54"	"AqFl2-55"	"AqFl2-56"	"AqFl2-57"	"AqFl2-58"	"AqFl2-59"	"AqFl2-60"	"AqFl2-61"	"AqFl2-62"	"AqFl2-63"	"AqFl2-64"	"AqFl2-65"	"AqFl2-66"	"AqFl2-67"	"AqFl2-68"	"AqFl2-69"	"AqFl2-70"	"AqFl2-71"	"AqFl2-72"
"AqFl2-01"	0	20.9463711583204	40.9049928393153	30.1462858317678	24.4470512654752	40.6623887066486	30.8092276584971	41.3006797470931	26.013897761668	7.7823494918019	36.7726389377041	16.9045771084666	35.1377576869266	19.8405174693705	27.3776241580825	45.4259364217334	35.5532024920798	19.4812294307582	6.70466917776668	19.0989833745021	29.1273069658204	21.6011732816542	37.3565326904022	26.5254612458089	22.6155717711202	24.9826117761801	35.5360350206707	27.6531904452152	30.1305491482508	36.5013034388777	6.43202865306999	15.9148854129416	21.5382604376339	37.2206102089696	23.7484259784204	27.3723139360668	21.5294715305647	41.1095437452223	41.3651586820683	25.6892043642408	18.6946623215978	15.2135150405767	9.42884429342039	25.3386225789111	42.1486563655063	20.0880842723391	23.9153480731267	21.7816882794068	12.0089506163607	24.9259302016376	21.9352611771373	18.2805804709412	41.4123891097876	29.6398704961077	27.3053678928802	11.7007273683271	10.7675516233846	21.2531339805853	17.6589294776639	26.4957467098982	32.1040214497641	12.8435431803204	16.7863817322067	24.699036445723	34.5565673704346	28.6809707362259	16.1685667639757	35.8376103050322	17.1080404011116	10.9028645147495	36.302605653662	22.4354317155406
"AqFl2-02"	20.9463711583204	0	30.0141038147321	32.033797875178	19.6038741608351	27.3244541996427	25.6387477532442	28.0359147638172	13.757019756086	22.968793008339	21.888699323259	20.5001835476915	21.7709172561468	16.6596135274989	21.2364307057659	30.3187228412134	20.0098207406622	22.3600313970483	20.862564319007	12.441265363953	18.149164704158	19.3476255606344	23.3148706286707	23.986536648765	20.4122450740066	11.0841770021878	22.2193185286017	19.7094134220534	28.2201214424351	27.1471247343176	21.2044506585212	11.3940315382244	19.7535332833913	27.4362922049206	24.7914954119903	15.9928867576785	23.1548062810049	29.73612188334	27.0141084409931	25.201015290376	13.3526497039149	24.8219493526074	18.7248677966118	14.0970903482361	29.2118380599946	17.3843128689002	15.6334806784067	18.5449472902514	23.1707011424486	15.837853570328	11.2568245706709	21.4953189088277	28.8233905639405	26.909551948018	18.8320216721188	20.3428555329386	21.3178205589735	11.9817968714105	20.9353292857107	17.7412174234455	19.1715838006521	18.7387292577757	19.5153452884845	11.6992891374169	22.833511328653	18.3066782171941	17.7688079299691	26.1426547452792	11.6692029031518	21.3479051829855	24.6208063868064	23.8513395005191
"AqFl2-03"	40.9049928393153	30.0141038147321	0	29.4790828038071	27.1659522882418	10.7263077730069	37.9862774605285	8.52217704448251	18.9940639025523	43.671573331262	13.8546729770167	38.2860349777632	17.8314598520746	36.113157084891	25.2573865841884	16.1585183603928	21.2893596144044	37.0400073420119	40.0368380279235	27.5094603225508	35.9088519681738	38.5640192639004	12.6555687608385	32.8054486559956	36.8138920222123	26.7845648932709	12.8272961985055	35.4206200607817	24.4329751815353	8.5313618563003	41.0164374165483	32.396710248107	22.8021799246815	12.686946132944	35.0055032970037	18.1811833853997	27.8634705906902	11.5847897670509	10.7571020224844	27.4994062045944	30.2852754258498	42.0150338408315	39.3560971563377	22.2114254218964	8.43253241274173	28.1485255991456	25.3982466510357	35.6563164081479	34.9325862940343	17.9511947191221	30.4754604000768	39.4483903242409	6.28323618538905	24.899234224676	19.6544318722856	40.0478426408301	40.4681988540298	26.5426147602724	34.7710134915129	17.0242124320943	21.9146983371832	40.5870487797534	37.027647134993	24.7772364863238	35.9062210579693	31.7219861560847	34.1601107817239	15.3605771704231	29.6084269022501	38.937958195263	8.87939857417879	34.9618684049983
"AqFl2-04"	30.1462858317678	32.033797875178	29.4790828038071	0	19.8361767197278	31.9662298678595	47.9925982666697	34.4754600286291	26.6819217454158	33.7152909558041	33.8084248824475	25.0735322530818	33.8852254215334	37.9275831595525	20.6514246369337	40.0834208799011	37.7793789414656	24.7056758832433	30.8297840546362	27.5266425030535	43.9270959454365	41.2522705818169	30.4760630878806	19.6638468014698	42.1220742822318	34.5768405162401	32.6163234348628	40.3843062626303	11.0891685685522	22.6560653717699	31.1257439386424	28.4198519774364	24.5378556189208	29.555214597091	18.950060675326	24.3251103771213	22.2413831108348	33.3451584001514	35.4124978646139	10.3910765597738	27.2178822107562	25.4491416893703	33.5875943026079	27.9966554343819	35.0142927173752	32.9132855230795	27.7461698198868	31.220939761451	23.1466367610626	22.7756466697843	30.7964820480375	26.0967254419904	31.6033476997338	11.9002946506101	22.7491268441772	35.2424743209797	34.6671275399109	29.8576034024156	22.0645578476418	23.1349178170521	35.4567317893752	33.7877146991871	24.7786090263852	29.664895278791	46.3202857628526	38.2304242445706	33.3923623797928	30.8447490501423	29.3192348086189	33.3366655618663	29.2429101188972	19.0163935919894
"AqFl2-05"	24.4470512654752	19.6038741608351	27.1659522882418	19.8361767197278	0	25.6732093694375	36.7914190533967	29.3782454941237	17.5447140645338	27.3827323971279	23.6732737791331	16.7183548518364	26.7255110209081	27.9003354226675	17.9514580889739	33.3286443200568	27.1885089755619	20.6445245610556	23.9273009569875	16.9043648653505	31.6101974260924	31.2632313938905	23.030731908023	17.2504169327346	31.0902013733567	20.6597380505366	23.5399819828365	27.9357792849986	17.405590815101	21.3516811044081	24.3997803956939	16.1798440840471	19.1249230212557	25.4725047024533	18.723483978321	15.4709166320539	23.2201575739504	30.841894812736	27.5277915974572	13.2419594049745	14.5506375917307	20.5116244461898	24.9935306636279	17.6070299421852	29.644386736916	23.7788165838361	19.9127484791449	22.6689258805421	22.5968406929346	15.5910092681462	16.8557981163161	18.946206478179	26.6759099737402	15.8536592644617	14.3218158452702	25.9708277226522	26.8434891536388	17.6308402150014	17.3786688575485	16.4492272685386	27.1768017028245	25.9555267800784	15.3128271155646	15.475348628354	34.4341288837144	28.0171301540593	26.5949251568533	28.4004871476267	17.6464807260165	25.5870498819338	24.7410461132932	18.0680779980795
"AqFl2-06"	40.6623887066486	27.3244541996427	10.7263077730069	31.9662298678595	25.6732093694375	0	38.0598336066637	10.9993591078345	17.489818144673	43.6268459850204	9.99458522534951	37.3852022162227	17.0168834114599	35.7545498798849	25.508920770412	14.8381522756369	18.876157678546	37.8405690893584	39.5190570949069	25.1800180819022	34.4288504589472	38.4446562160292	8.57363320931479	31.4764315006873	36.5647768212699	23.9193115607538	12.4124425905967	35.3011527003455	26.9441985810541	11.2520836056304	40.4195553256697	29.8424171518914	23.3366959674824	11.2589557894302	34.9274027299882	16.8097399184098	29.8323974467506	15.7992313915278	7.62022515856159	28.0231271483234	28.7740872190905	41.4791918922361	38.6294465393996	19.0468896551612	9.86612491311961	28.0898373827267	26.3398777279766	35.9055236228154	36.4879340958768	19.2344059770744	26.875299962959	38.6855014907759	6.94028369910977	25.2997438660621	17.1725319134565	39.5823523155367	40.4633172868686	25.3817334498859	35.7139811070174	19.1712475484223	22.667223159418	40.462861747767	35.9754882232406	21.7631353905657	35.3688988165475	31.8113498404515	34.9860674380062	18.6311999892899	27.8871585744095	39.1357387600617	13.3082398336119	34.8667768367793
"AqFl2-07"	30.8092276584971	25.6387477532442	37.9862774605285	47.9925982666697	36.7914190533967	38.0598336066637	0	34.1355621481484	28.3078549874732	29.9746450947186	30.811135543136	36.4982139839552	31.8632853288516	20.370159574485	39.1043738760398	37.8448476548602	27.3597774938593	37.1267101261988	28.9300818813678	27.8812040932797	19.7377756170674	18.2076773360912	36.2816517868417	44.5253798221356	10.1560786040148	21.1088647635251	28.5495016298315	18.6634490559305	43.8592479356262	39.5616045859722	30.2732582766165	28.6583875983599	27.9955469602746	36.5941586844101	43.9069950264573	31.699185722511	35.1628117924432	37.2180070217373	34.7562917028118	42.46042091947	27.7928984470162	39.3951124517284	25.4017571699461	29.6828905250078	35.6643799991629	18.4357789239339	27.7495153865728	30.5822332783682	33.0662862325451	28.8452258303681	27.6186483132626	38.0326850067744	37.8017679872726	44.6423552134942	33.9594134674376	23.1960189515049	24.0376910440466	22.8069002245673	34.9035301514463	28.8572179900409	25.6610270494718	28.0761170422867	35.3013595324017	26.5595513043918	21.2531784240544	24.0879167194983	22.9757173683838	34.5269383459894	24.5271726606437	23.807404614275	32.894361053247	42.5210417507122
"AqFl2-08"	41.3006797470931	28.0359147638172	8.52217704448251	34.4754600286291	29.3782454941237	10.9993591078345	34.1355621481484	0	18.2454230288203	43.817297968458	12.2322028004636	39.5996272120777	15.8246630379656	34.1098046344052	27.2526171117959	13.4835473419617	17.7784195692623	38.1961070226526	40.359036036679	27.4008585005724	32.4111675294584	36.1207389547054	13.2227634487831	35.3035630549781	34.2797205834015	24.6299585958475	11.5116872045676	33.0449983990399	28.7683724354599	14.4089307501672	41.4267377808711	32.3961605115128	24.1063510280367	14.5388186598513	37.4693810786189	19.1169952127015	29.572921860617	11.6184795460579	9.48468627594498	31.4449099827539	30.5760004211395	43.5673788574936	38.9796978439197	21.9917182329868	7.65822727276215	27.1035720802255	25.0857491465603	35.2334194843996	36.4994050608579	19.0014561487026	29.3406161740536	40.6365651177906	9.00980065747098	29.1971072098916	21.7792284247085	39.5368919603611	39.9879674078754	25.6724623122797	36.2823366137851	18.2752272597611	19.0095539425346	40.0232195318089	38.2950545989536	24.1814269025195	32.1167122285489	29.2865196977697	33.2152160260299	15.2553164421837	29.1362800832432	38.7939460866141	9.79779393896934	37.2953158059442
"AqFl2-09"	26.013897761668	13.757019756086	18.9940639025523	26.6819217454158	17.5447140645338	17.489818144673	28.3078549874732	18.2454230288203	0	28.7978604865189	14.0432701322672	24.7975539087942	13.4218611845907	21.4201268686069	16.8825712420108	21.8713712774469	15.8369195127213	24.8765246114577	25.2653716683565	11.5819793236	22.7559699451966	24.4462753517399	13.8450775555779	22.5089382250298	24.4226764444787	12.9527004416285	14.3069739046188	24.4206609423095	21.7981554938377	16.351743209386	25.9648209219114	15.9882145106321	14.0196051996781	17.0546297258101	24.3043474020743	8.82282843600982	18.5416437681854	19.0947536689556	17.773281539793	21.018192892781	16.7495783287675	28.4608242018178	23.9708565158142	8.464798174911	18.846563181001	16.543650951673	14.4643206423169	22.5044048225834	23.1230550816806	9.05199165853507	15.9043041432367	25.8917939690764	18.3313706715237	20.4619692555027	11.9693814173248	25.5623766001147	26.2236764422727	13.2329987763035	23.2107882126792	11.1056247553029	14.5401730718487	25.0379418267467	23.6821611639597	11.9771177459967	26.2229458159802	20.7587977254708	20.5880666513115	16.3571573401376	13.8867373222832	25.3622279211253	14.5710688555158	23.8928287730129
"AqFl2-10"	7.7823494918019	22.968793008339	43.671573331262	33.7152909558041	27.3827323971279	43.6268459850204	29.9746450947186	43.817297968458	28.7978604865189	0	39.0288508843574	18.2698398433858	37.3391231468022	18.987247318679	30.0161514468209	47.6513718230758	36.9348262838689	20.5890914538705	8.1853377867749	22.2244054139008	28.5819677514201	20.2583107015427	40.2105274496649	29.5512933650728	21.8526060763479	26.4497540420464	37.5677730558009	26.7016876086742	33.4241559495029	39.7233623003691	8.08685371861989	18.2469086690171	24.5736551984571	40.5049738686425	26.3669226872082	29.8314812666265	24.7324161044172	43.7660404828465	43.8592574258148	29.2065672981581	19.9808830812596	16.9865531059863	9.41403126898076	28.5446573212242	44.8592308630258	21.4908303072065	24.9564369514717	21.7242449278635	14.9037870066845	27.3650891609574	23.286676633863	19.3634579264318	44.2664714529328	33.5319250896446	30.5917420467891	10.4400462447313	9.09122081181646	22.4398683974729	19.074815755063	28.6833864555699	33.4267335374047	11.6712505968723	18.3065338604452	26.3888739206743	33.6444662083461	28.3931080709385	16.474412767404	38.4071042447805	19.1124892490955	10.5005027758331	38.5798602133286	24.9732452033326
